module	median_LC	median_HC	delta_LC_minus_HC	p
scfa_acetate	1751.261275542857	2940.880122697143	-1189.6188471542862	0.00029585810361415537
scfa_lactate_succinate	2193.0304181675	3741.1392378	-1548.1088196325	0.0008834178728846758
tryptophan_indole	14507.63604	15540.24065	-1032.6046100000003	0.12002738867255466
lps_lipidA	2691.6953194875	2398.33511570875	293.36020377875	0.20421364489605498
scfa_butyrate	627.5490828666667	800.627913635	-173.07883076833332	0.22329392600893272
