study_accession	run_accession	mate	url	size_bytes	md5	first_public
PRJDB36442	DRR764583	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764583/DRR764583_2.fastq.gz	1606826477	1ec8bf14163017c10e999c4b5b8d5fa9	2025-11-20
PRJDB36442	DRR764584	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764584/DRR764584_1.fastq.gz	1465323752	1dc4040b0ee6e19497f4043166b0155e	2025-11-20
PRJDB36442	DRR764584	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764584/DRR764584_2.fastq.gz	1595167750	d29e62e6444abdd12793d76eaea0f41c	2025-11-20
PRJDB36442	DRR764587	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764587/DRR764587_1.fastq.gz	1588510775	ba97487ab319d8c34a8b2682f2defce2	2025-11-20
PRJDB36442	DRR764587	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764587/DRR764587_2.fastq.gz	1672417841	45e3bc7492bdf9112cee1dbd9a73558c	2025-11-20
PRJDB36442	DRR764588	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764588/DRR764588_1.fastq.gz	1457101178	a24ec7ad9638567f3989f4537639b7f5	2025-11-20
PRJDB36442	DRR764588	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764588/DRR764588_2.fastq.gz	1579206490	f2fbdf7709b9a85f16cfc1d3d797fd13	2025-11-20
PRJDB36442	DRR764591	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764591/DRR764591_1.fastq.gz	1499892793	36979dd5f820dbe96992977f8cb4e476	2025-11-20
PRJDB36442	DRR764591	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764591/DRR764591_2.fastq.gz	1582680400	07992dcbdad3554a0672a196320710cb	2025-11-20
PRJDB36442	DRR764593	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764593/DRR764593_1.fastq.gz	1527232238	707b003aeefb52b371ef8ede6c4b7f7c	2025-11-20
PRJDB36442	DRR764593	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764593/DRR764593_2.fastq.gz	1595419080	b78e3d251a6ebe03295e929a70450934	2025-11-20
PRJDB36442	DRR764595	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764595/DRR764595_1.fastq.gz	1560782515	fce015b73a29222c1946611592e588ed	2025-11-20
PRJDB36442	DRR764595	2	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764595/DRR764595_2.fastq.gz	1721341091	a6f49a4fa4d39531a3047a33d1be8471	2025-11-20
PRJDB36442	DRR764596	1	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR764/DRR764596/DRR764596_1.fastq.gz	1590795495	9924338032d3ea03c0bfbcfc3c0da426	2025-11-20
