clade_name	mean_clr_M	mean_clr_S	diff_S_minus_M	cohens_d	prev_M	prev_S	p_perm	q_fdr
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	2.272773	-1.859542	-4.132315	-0.652989	7	5	0.14542729	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB84486|o__OFGB84486|f__FGB84486|g__GGB3653|s__GGB3653_SGB4964	5.121729	-4.190506	-9.312235	-1.719802	7	1	0.00449775	0.32608696
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes	1.867346	-1.527828	-3.395174	-0.545665	5	3	0.31884058	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Bianqueaceae|g__Bianquea|s__Bianquea_renquensis	1.203533	-0.984709	-2.188242	-0.394763	3	2	0.40779610	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Flintibacter|s__Flintibacter_hominis	2.766725	-2.263684	-5.030409	-0.858547	8	4	0.07296352	0.65356152
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	-1.470045	1.202764	2.672809	0.378709	7	9	0.40779610	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	2.924819	-2.393033	-5.317852	-1.020665	9	6	0.04297851	0.59725400
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4605|s__GGB4605_SGB6376	1.531923	-1.253392	-2.785315	-0.755924	2	0	0.19590205	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas|s__Intestinimonas_sp_MSJ_38	3.279826	-2.683494	-5.963320	-1.129766	5	1	0.02998501	0.55900621
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecichinchillae	0.762963	-0.624242	-1.387205	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_hominis_ex_Liu_et_al_2021	1.837913	-1.503747	-3.341660	-0.524735	4	2	0.28835582	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0.813150	-0.665305	-1.478455	-0.243512	7	7	0.57571214	0.91996451
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM42_4	2.451946	-2.006137	-4.458083	-0.724795	7	4	0.18490755	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis	1.991537	-1.629439	-3.620977	-0.581530	5	3	0.24837581	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_callidus	4.480644	-3.665981	-8.146625	-1.420696	7	2	0.01299350	0.42391304
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogenoanaerobacterium|s__Hydrogenoanaerobacterium_saccharovorans	-1.658714	1.357130	3.015844	0.485567	2	5	0.20689655	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	0.719213	-0.588447	-1.307660	-0.245285	8	9	0.63568216	0.98757764
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei	0.402850	-0.329604	-0.732454	-0.093359	7	7	0.86956522	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	1.599592	-1.308757	-2.908349	-0.430843	8	7	0.34582709	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4585|s__GGB4585_SGB6340	1.029110	-0.841999	-1.871109	-0.381806	2	1	0.46326837	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_gnavus	-2.892536	2.366620	5.259156	0.892451	5	10	0.06896552	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9237|s__GGB9237_SGB14179	2.314202	-1.893438	-4.207640	-0.926522	4	1	0.07846077	0.65356152
k__Bacteria|p__Firmicutes|c__CFGB2997|o__OFGB2997|f__FGB2997|g__GGB9445|s__GGB9445_SGB14835	0.745344	-0.609827	-1.355170	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	1.930187	-1.579244	-3.509431	-0.647115	8	8	0.16241879	0.81449914
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.473991	-0.387811	-0.861802	-0.185551	8	9	0.76061969	1.00000000
k__Bacteria|p__Bacteroidota|c__CFGB629|o__OFGB629|f__FGB629|g__GGB1496|s__GGB1496_SGB2073	0.737135	-0.603110	-1.340245	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB3625|o__OFGB3625|f__FGB3625|g__GGB3616|s__GGB3616_SGB4888	0.735053	-0.601407	-1.336461	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9469|s__GGB9469_SGB14863	0.732861	-0.599613	-1.332474	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens	1.335818	-1.092942	-2.428759	-0.402854	5	4	0.39630185	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q3526	2.051843	-1.678781	-3.730624	-0.568004	5	3	0.26786607	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011|g__GGB2653|s__GGB2653_SGB3574	0.763995	-0.625087	-1.389082	-0.210245	4	4	0.62118941	0.97668937
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.472177	-0.386326	-0.858503	-0.139840	7	8	0.74412794	1.00000000
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB9531|s__GGB9531_SGB14932	1.579971	-1.292703	-2.872674	-0.555309	3	1	0.28485757	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB3828|s__GGB3828_SGB5197	-0.024449	0.020003	0.044452	0.006752	4	4	0.99900050	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerosacchariphilus|s__Anaerosacchariphilus_hominis	3.930968	-3.216246	-7.147214	-1.526991	6	1	0.00499750	0.32608696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	2.028679	-1.659828	-3.688506	-0.613199	8	7	0.19240380	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_segne	1.446489	-1.183491	-2.629980	-0.755928	2	0	0.19590205	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis_ex_Durand_et_al_2017	2.022928	-1.655123	-3.678050	-0.828396	9	8	0.10994503	0.78978859
k__Bacteria|p__Firmicutes|c__CFGB1347|o__OFGB1347|f__FGB1347|g__GGB3288|s__GGB3288_SGB4342	1.563430	-1.279170	-2.842599	-0.752956	2	0	0.18390805	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	4.236066	-3.465872	-7.701938	-1.601332	9	5	0.00699650	0.39130435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_lenta	1.631487	-1.334853	-2.966340	-0.529156	3	1	0.27986007	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB3321|s__GGB3321_SGB4394	2.526133	-2.066836	-4.592970	-0.954180	4	1	0.05697151	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Flintibacter|s__Flintibacter_faecis	3.992044	-3.266218	-7.258262	-1.368003	7	2	0.01799100	0.50490884
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB4714	2.640350	-2.160286	-4.800637	-0.758580	8	5	0.12043978	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Congzhengia|s__Congzhengia_minquanensis	0.712691	-0.583111	-1.295802	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	4.852037	-3.969848	-8.821885	-1.619335	9	4	0.00249875	0.32608696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_glucerasea	1.807716	-1.479040	-3.286756	-0.534894	5	3	0.34882559	0.81449914
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	-0.067057	0.054865	0.121921	0.031307	9	10	0.96451774	1.00000000
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	1.595080	-1.305066	-2.900146	-0.389472	7	6	0.38480760	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_hominis_ex_Hitch_et_al_2024	0.528059	-0.432048	-0.960107	-0.194234	3	2	0.69765117	1.00000000
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB3321|s__GGB3321_SGB4395	1.530383	-1.252132	-2.782515	-0.527175	3	1	0.30284858	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus	1.690153	-1.382852	-3.073005	-0.464364	7	6	0.28635682	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_gordonii	-0.411084	0.336342	0.747426	0.178310	1	2	0.83908046	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9697|s__GGB9697_SGB15213	0.688385	-0.563224	-1.251609	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB81848|o__OFGB81848|f__FGB81848|g__GGB3623|s__GGB3623_SGB4900	0.779908	-0.638107	-1.418015	-0.271300	2	1	0.71064468	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae|g__GGB20071|s__GGB20071_SGB29339	1.341546	-1.097629	-2.439175	-0.755794	2	0	0.19590205	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9619|s__GGB9619_SGB15066	0.207260	-0.169577	-0.376837	-0.074839	2	2	0.93203398	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM49_4BH	2.959312	-2.421255	-5.380567	-0.890610	5	2	0.08745627	0.69169960
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834|f__FGB2834|g__GGB9063|s__GGB9063_SGB13982	1.932947	-1.581502	-3.514449	-0.992300	3	0	0.07546227	0.65356152
k__Bacteria|p__Firmicutes|c__CFGB36777|o__OFGB36777|f__FGB36777|g__GGB36777|s__GGB36777_SGB49178	2.915132	-2.385108	-5.300240	-1.261168	4	0	0.02998501	0.55900621
k__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_porcorum	0.957109	-0.783090	-1.740199	-0.311115	3	2	0.49075462	0.82636746
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_faecihominis	4.102156	-3.356310	-7.458466	-1.666621	9	4	0.00499750	0.32608696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_zhanii	0.434681	-0.355648	-0.790329	-0.198980	2	1	0.71064468	1.00000000
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038|f__FGB3038|g__GGB9534|s__GGB9534_SGB14937	1.396829	-1.142860	-2.539690	-0.410530	6	5	0.36981509	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_fissicatena	1.525185	-1.247879	-2.773064	-0.394527	7	6	0.41679160	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047|g__GGB52130|s__GGB52130_SGB14966	4.077953	-3.336507	-7.414461	-1.732333	7	1	0.00349825	0.32608696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_bacterium_Marseille_Q3528	1.645284	-1.346142	-2.991426	-0.471644	6	5	0.21289355	0.81449914
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	0.232194	-0.189977	-0.422171	-0.064061	5	5	0.96051974	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Jutongia|s__Jutongia_huaianensis	-0.079801	0.065292	0.145093	0.035383	1	1	1.00000000	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_soehngenii	4.015119	-3.285098	-7.300217	-1.522452	8	3	0.00649675	0.39130435
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified|f__Bacillota_unclassified|g__GGB58485|s__GGB58485_SGB80143	1.634617	-1.337414	-2.972032	-0.555408	4	2	0.27786107	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_rubiinfantis	3.645893	-2.983003	-6.628897	-1.587955	6	1	0.00749625	0.39130435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB4751	3.311549	-2.709449	-6.020999	-1.083120	7	3	0.04997501	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9646|s__GGB9646_SGB15123	1.242695	-1.016751	-2.259446	-0.419867	3	2	0.43028486	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__GGB51441|s__GGB51441_SGB71759	1.888423	-1.545073	-3.433497	-0.618183	5	3	0.20239880	0.81449914
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas_hippei	0.645079	-0.527792	-1.172871	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_timonensis	0.991180	-0.810966	-1.802146	-0.313266	6	5	0.53973013	0.88947753
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae	-0.121180	0.099147	0.220327	0.039176	8	9	0.94352824	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Lawsonibacter|s__Lawsonibacter_celer	1.422588	-1.163935	-2.586523	-0.611047	3	1	0.19240380	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT	2.613104	-2.137994	-4.751098	-1.091688	5	1	0.04047976	0.59051383
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057|f__FGB3057|g__GGB9719|s__GGB9719_SGB15272	1.548681	-1.267103	-2.815784	-0.446301	6	4	0.35132434	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_gallinarum	0.137338	-0.112367	-0.249705	-0.043377	5	5	0.97401299	1.00000000
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified|s__TM7_phylum_sp_oral_taxon_352	3.147412	-2.575155	-5.722567	-1.173615	6	2	0.02348826	0.55731225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	1.487576	-1.217107	-2.704683	-0.512969	9	8	0.24037981	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Neglectibacter|s__Neglectibacter_timonensis	3.082401	-2.521964	-5.604365	-1.239002	4	0	0.02998501	0.55900621
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Merdimmobilis|s__Merdimmobilis_hominis	1.956892	-1.601094	-3.557986	-0.643577	7	6	0.15042479	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Agathobaculum|s__Agathobaculum_faecis	0.058358	-0.047747	-0.106105	-0.016540	4	5	0.91154423	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_asparagiformis	2.024556	-1.656455	-3.681011	-0.594373	7	5	0.20239880	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae|g__Guopingia|s__Guopingia_tenuis	1.048060	-0.857504	-1.905564	-0.346443	3	2	0.47176412	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_citroniae	-0.336396	0.275233	0.611629	0.105073	7	8	0.82008996	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ligaoa|s__Ligaoa_zhengdingensis	1.223236	-1.000830	-2.224066	-0.755911	2	0	0.19590205	0.81449914
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_massiliensis	1.759189	-1.439336	-3.198525	-0.533429	6	4	0.25637181	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_aldenensis	0.355460	-0.290831	-0.646291	-0.142368	9	9	0.75762119	1.00000000
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.344320	-0.281716	-0.626036	-0.104316	5	5	0.91304348	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Yeguiaceae|g__Yeguia|s__Yeguia_hominis	1.379174	-1.128415	-2.507589	-0.748758	2	0	0.20039980	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_MCC283	1.203005	-0.984277	-2.187282	-0.755913	2	0	0.20039980	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oliverpabstia|s__Oliverpabstia_intestinalis	1.219754	-0.997980	-2.217734	-0.335397	5	4	0.51824088	0.86520812
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii	2.654710	-2.172035	-4.826745	-0.896827	8	5	0.06996502	0.65356152
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120|f__FGB9120|g__GGB4642|s__GGB4642_SGB6422	0.589245	-0.482109	-1.071354	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4	-1.208553	0.988816	2.197369	0.292620	3	5	0.47826087	0.82191001
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960|f__FGB2960|g__GGB9302|s__GGB9302_SGB14263	2.205101	-1.804174	-4.009275	-0.961513	3	0	0.07996002	0.65903890
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Hominifimenecus|s__Hominifimenecus_microfluidus	1.295085	-1.059615	-2.354700	-0.750452	2	0	0.20039980	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium	3.406291	-2.786966	-6.193257	-1.222972	7	3	0.01299350	0.42391304
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi	0.862044	-0.705309	-1.567354	-0.288117	3	3	0.52523738	0.87502313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_stercoris	1.782611	-1.458500	-3.241111	-0.516231	5	3	0.31484258	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Cuneatibacter|s__Cuneatibacter_sp_NSJ_177	0.741300	-0.606518	-1.347818	-0.308214	3	2	0.54572714	0.89394215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Diplocloster|s__Diplocloster_modestus	0.926275	-0.757861	-1.684136	-0.340861	3	2	0.49075462	0.82636746
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126|g__GGB2848|s__GGB2848_SGB3813	4.455647	-3.645529	-8.101176	-1.866324	7	1	0.00349825	0.32608696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Clostridium_leptum	2.950281	-2.413866	-5.364148	-0.869117	7	4	0.07146427	0.65356152
k__Bacteria|p__Firmicutes|c__CFGB41334|o__OFGB41334|f__FGB41334|g__GGB42392|s__GGB42392_SGB71394	1.215784	-0.994732	-2.210516	-0.746349	2	0	0.20039980	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_hominis	2.091740	-1.711424	-3.803164	-0.875070	4	1	0.07496252	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_chh4_2	0.500437	-0.409448	-0.909885	-0.500000	1	0	0.44327836	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Lawsonibacter|s__Lawsonibacter_hominis	1.599416	-1.308613	-2.908030	-0.671219	3	1	0.19190405	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212|f__FGB15212|g__GGB41458|s__GGB41458_SGB58520	1.905099	-1.558717	-3.463816	-0.750472	4	1	0.13843078	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	-0.243818	0.199487	0.443305	0.074818	6	7	0.84207896	1.00000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_OF03_15BH	1.080436	-0.883993	-1.964429	-0.399426	4	3	0.41729135	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_marseillensis	2.169466	-1.775018	-3.944483	-0.755907	2	0	0.18340830	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15106	2.310454	-1.890371	-4.200825	-0.623892	4	2	0.19590205	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB3256|s__GGB3256_SGB4303	1.599464	-1.308652	-2.908116	-0.372868	4	3	0.38730635	0.81449914
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4599|s__GGB4599_SGB6362	2.998339	-2.453186	-5.451525	-0.999529	3	0	0.07146427	0.65356152
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054|g__GGB9715|s__GGB9715_SGB15260	4.332542	-3.544807	-7.877349	-1.086786	7	3	0.03698151	0.57943144
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708|s__GGB9708_SGB15234	0.682413	-0.558338	-1.240751	-0.178397	3	3	0.69665167	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0.584134	-0.477928	-1.062062	-0.136326	6	6	0.86056972	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	0.702272	-0.574586	-1.276858	-0.184493	3	3	0.72763618	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0.399534	-0.326891	-0.726425	-0.116739	2	2	0.66366817	1.00000000
