clade_name	mean_clr_M	mean_clr_S	diff_S_minus_M	cohens_d	prev_M	prev_S	p_perm	q_fdr
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	2.688566	-2.199735	-4.888301	-0.699043	7	4	0.17041479	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Simiaoa|s__Simiaoa_sunii	3.249680	-2.658829	-5.908510	-0.842364	8	5	0.08645677	0.69077196
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_coprophilus	-0.745541	0.609988	1.355530	0.220607	1	2	0.64117941	0.99414550
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Vescimonas|s__Vescimonas_coprocola	3.492526	-2.857521	-6.350046	-1.089484	9	6	0.02648676	0.55900621
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_fessum	1.533851	-1.254969	-2.788821	-0.434069	8	8	0.37181409	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	1.962474	-1.605661	-3.568135	-0.470768	7	6	0.27986007	0.81449914
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	-0.244943	0.200408	0.445350	0.452929	9	11	0.35882059	0.81449914
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.421746	-0.345065	-0.766810	-0.213069	9	10	0.92303848	1.00000000
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	1.895616	-1.550958	-3.446574	-0.532795	9	8	0.21289355	0.81449914
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	-1.083462	0.886469	1.969931	0.267559	2	4	0.62818591	0.98177558
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii	3.767738	-3.082695	-6.850433	-0.961803	8	5	0.05347326	0.65356152
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii	2.515451	-2.058096	-4.573547	-0.879981	9	8	0.07846077	0.65356152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC	3.735180	-3.056056	-6.791236	-1.101696	9	6	0.02348826	0.55731225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	3.005399	-2.458963	-5.464362	-0.962067	9	7	0.05747126	0.65356152
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.390746	-0.319701	-0.710446	-0.192687	9	10	0.96951524	1.00000000
