module	median_M	median_S	delta_S_minus_M	p	q
bile_acids	0.0	0.0	0.0	0.31487864133641996	0.47231796200462994
lps_lipidA	0.010819018975562146	0.009730816002100793	-0.0010882029734613531	0.40331756510948324	0.4839810781313799
scfa_acetate	0.011215040139748748	0.008735617677783386	-0.002479422461965362	0.009791512077969675	0.05874907246781805
scfa_butyrate	0.002357025119957165	0.002983986372992212	0.000626961253035047	0.5433269342132927	0.5433269342132927
scfa_lactate_succinate	0.009368664445993153	0.0079301567681096	-0.0014385076778835534	0.027577991563328515	0.08273397468998554
tryptophan_indole	0.01392311672517513	0.012796472051934004	-0.0011266446732411256	0.22414515405220226	0.4482903081044045
